Year,Player,Player_ID,College,Pick,Round,Team,Career_AV,Games_Played,Note,Career_Yards,Career_TDs,Pro_Bowls,All_Pros,OPOY,Receptions,Receiving_Yards,Receiving_TDs,Rec/Game,Yards/Game,TD/Game,Successful
2013,Brice Butler,ButlBr00,San Diego St.,209,,OAK,10.0,69.0,Parsed,,,0.0,0.0,False,79,1237,9,1.14,17.93,0.13,False
2013,Charles Johnson,JohnCh08,Grand Valley St.,216,,GNB,7.0,39.0,Parsed,,,0.0,0.0,False,60,834,2,1.54,21.38,0.05,False
2013,Kevin Dorsey,DorsKe01,Maryland,224,,GNB,0.0,3.0,Parsed,,,0.0,0.0,False,1,4,0,0.33,1.33,0,False
2013,Marquess Wilson,WilsMa02,Washington St.,236,,CHI,6.0,31.0,Parsed,,,0.0,0.0,False,56,777,3,1.81,25.06,0.1,False
2013,Aaron Mellette,MellAa00,Elon,238,,BAL,,,Parsed,,,0.0,0.0,False,,,,,,,
2014,Sammy Watkins,WatkSa00,Clemson,4,,BUF,51.0,111.0,Parsed,,,0.0,0.0,False,364,5384,34,3.28,48.5,0.31,True
2014,Mike Evans,EvanMi00,Texas A&M,7,,TAM,102.0,168.0,Parsed,,,6.0,0.0,False,836,12684,105,4.98,75.5,0.62,True
2014,Odell Beckham Jr.,BeckOd00,LSU,12,,NYG,69.0,119.0,Parsed,,,3.0,0.0,False,575,7987,59,4.83,67.12,0.5,True
2014,Brandin Cooks,CookBr00,Oregon St.,20,,NOR,88.0,158.0,Parsed,,,0.0,0.0,False,710,9532,60,4.49,60.33,0.38,True
2014,Kelvin Benjamin,BenjKe00,Florida St.,28,,CAR,23.0,61.0,Parsed,,,0.0,0.0,False,209,3021,20,3.43,49.52,0.33,False
2014,Marqise Lee,LeexMa00,USC,39,,JAX,18.0,59.0,Parsed,,,0.0,0.0,False,174,2184,8,2.95,37.02,0.14,False
2014,Jordan Matthews,MattJo00,Vanderbilt,42,,PHI,25.0,81.0,Parsed,,,0.0,0.0,False,274,3288,22,3.38,40.59,0.27,False
2014,Paul Richardson,RichPa01,Colorado,45,,SEA,15.0,64.0,Parsed,,,0.0,0.0,False,143,1809,12,2.23,28.27,0.19,False
2014,Davante Adams,AdamDa01,Fresno St.,53,,GNB,111.0,164.0,Parsed,,,6.0,3.0,False,957,11844,103,5.84,72.22,0.63,True
2014,Cody Latimer,LatiCo00,Indiana,56,,DEN,6.0,66.0,Parsed,,,0.0,0.0,False,70,935,6,1.06,14.17,0.09,False
2014,Allen Robinson,RobiAl02,Penn St.,61,,JAX,55.0,139.0,Parsed,,,1.0,0.0,False,565,7058,43,4.06,50.78,0.31,True
2014,Jarvis Landry,LandJa00,LSU,63,,MIA,67.0,132.0,Parsed,,,5.0,0.0,False,713,7870,38,5.4,59.62,0.29,True
2014,Josh Huff,HuffJo00,Oregon,86,,PHI,6.0,37.0,Parsed,,,0.0,0.0,False,51,523,4,1.38,14.14,0.11,False
2014,Donte Moncrief,MoncDo00,Mississippi,90,,IND,20.0,83.0,Parsed,,,0.0,0.0,False,205,2576,21,2.47,31.04,0.25,False
2014,John Brown,BrowJo02,Pittsburg St.,91,,ARI,40.0,103.0,Parsed,,,0.0,0.0,False,321,4790,32,3.12,46.5,0.31,True
2014,Dri Archer,ArchDr00,Kent St.,97,,PIT,,,Parsed,,,0.0,0.0,False,,,,,,,
2014,Jalen Saunders,SaunJa00,Oklahoma,104,,NYJ,,15.0,Parsed,,,0.0,0.0,False,1,7,0,0.07,0.47,0,False
2014,Bruce Ellington,ElliBr00,South Carolina,106,,SFO,7.0,44.0,Parsed,,,0.0,0.0,False,79,769,5,1.8,17.48,0.11,False
2014,Shaquelle Evans,EvanSh00,UCLA,115,,NYJ,,,Parsed,,,0.0,0.0,False,,,,,,,
2014,Martavis Bryant,BryaMa00,Clemson,118,,PIT,20.0,44.0,Parsed,,,0.0,0.0,False,145,2183,17,3.3,49.61,0.39,False
2014,Kevin Norwood,NorwKe00,Alabama,123,,SEA,1.0,10.0,Parsed,,,0.0,0.0,False,9,102,0,0.9,10.2,0,False
2014,Ryan Grant,GranRy01,Tulane,142,,WAS,10.0,80.0,Parsed,,,0.0,0.0,False,123,1333,7,1.54,16.66,0.09,False
2014,Devin Street,StreDe00,Pittsburgh,146,,DAL,1.0,36.0,Parsed,,,0.0,0.0,False,10,152,1,0.28,4.22,0.03,False
2014,Jared Abbrederis,AbbrJa00,Wisconsin,176,,GNB,1.0,22.0,Parsed,,,0.0,0.0,False,13,163,0,0.59,7.41,0,False
2014,Robert Herron,HerrRo00,Wyoming,185,,TAM,0.0,8.0,Parsed,,,0.0,0.0,False,6,58,1,0.75,7.25,0.12,False
2014,T.J. Jones,JoneT.00,Notre Dame,189,,DET,7.0,45.0,Parsed,,,0.0,0.0,False,67,852,5,1.49,18.93,0.11,False
2014,Matt Hazel,HazeMa01,Coastal Carolina,190,,MIA,0.0,9.0,Parsed,,,0.0,0.0,False,1,1,0,0.11,0.11,0,False
2014,Walt Powell,PoweWa00,Murray St.,196,,ARI,1.0,15.0,Parsed,,,0.0,0.0,False,14,142,0,0.93,9.47,0,False
2014,Quincy Enunwa,EnunQu00,Nebraska,209,,NYJ,13.0,41.0,Parsed,,,0.0,0.0,False,119,1617,5,2.9,39.44,0.12,False
2014,Michael Campanaro,CampMi02,Wake Forest,218,,BAL,4.0,24.0,Parsed,,,0.0,0.0,False,31,310,2,1.29,12.92,0.08,False
2014,Jeff Janis,JaniJe00,Saginaw Valley St.,236,,GNB,2.0,51.0,Parsed,,,0.0,0.0,False,17,200,1,0.33,3.92,0.02,False
2014,James Wright,WrigJa03,LSU,239,,CIN,2.0,24.0,Parsed,,,0.0,0.0,False,18,197,0,0.75,8.21,0,False
2014,Tevin Reese,ReesTe00,Baylor,240,,SDG,,,Parsed,,,0.0,0.0,False,,,,,,,
2014,Jeremy Gallon,GallJe00,Michigan,244,,NWE,,,Parsed,,,0.0,0.0,False,,,,,,,
2015,Amari Cooper,CoopAm00,Alabama,4,,OAK,83.0,154.0,Parsed,,,5.0,0.0,False,711,10033,64,4.62,65.15,0.42,True
2015,Kevin White,WhitKe00,West Virginia,7,,CHI,3.0,30.0,Parsed,,,0.0,0.0,False,28,397,0,0.93,13.23,0,False
2015,DeVante Parker,ParkDe01,Louisville,14,,MIA,42.0,119.0,Parsed,,,0.0,0.0,False,402,5660,27,3.38,47.56,0.23,True
2015,Nelson Agholor,AghoNe00,USC,20,,PHI,43.0,149.0,Parsed,,,0.0,0.0,False,389,4858,37,2.61,32.6,0.25,True
2015,Breshad Perriman,PerrBr02,Central Florida,26,,BAL,17.0,80.0,Parsed,,,0.0,0.0,False,145,2343,16,1.81,29.29,0.2,False
2015,Phillip Dorsett,DorsPh00,Miami (FL),29,,IND,18.0,94.0,Parsed,,,0.0,0.0,False,151,2001,12,1.61,21.29,0.13,False
2015,Devin Smith,SmitDe04,Ohio St.,37,,NYJ,2.0,22.0,Parsed,,,0.0,0.0,False,15,248,2,0.68,11.27,0.09,False
2015,Dorial Green-Beckham,GreeDo00,Oklahoma,40,,TEN,7.0,31.0,Parsed,,,0.0,0.0,False,68,941,6,2.19,30.35,0.19,False
2015,Tyler Lockett,LockTy00,Kansas St.,69,,SEA,83.0,161.0,Parsed,,,1.0,1.0,False,661,8594,61,4.11,53.38,0.38,True
2015,Jaelen Strong,StroJa01,Arizona St.,70,,HOU,2.0,20.0,Parsed,,,0.0,0.0,False,31,330,4,1.55,16.5,0.2,False
2015,Chris Conley,ConlCh00,Georgia,76,,KAN,26.0,132.0,Parsed,,,0.0,0.0,False,226,2998,15,1.71,22.71,0.11,False
