Year,Player,Player_ID,College,Pick,Round,Team
2022,Garrett Wilson,WilsGa00,Ohio St.,10,,NYJ
2022,Chris Olave,OlavCh00,Ohio St.,11,,NOR
2022,Jameson Williams,WillJa11,Alabama,12,,DET
2022,Jahan Dotson,DotsJa00,Penn St.,16,,WAS
2022,Treylon Burks,BurkTr00,Arkansas,18,,TEN
2022,Christian Watson,WatsCh00,North Dakota St.,34,,GNB
2022,Wan'Dale Robinson,RobiWa01,Kentucky,43,,NYG
2022,John Metchie,MetcJo00,Alabama,44,,HOU
2022,Tyquan Thornton,ThorTy00,Baylor,50,,NWE
2022,George Pickens,PickGe00,Georgia,52,,PIT
2022,Alec Pierce,PierAl00,Cincinnati,53,,IND
2022,Skyy Moore,MoorSk01,Western Michigan,54,,KAN
2022,Velus Jones Jr.,JoneVe00,Tennessee,71,,CHI
2022,Jalen Tolbert,TolbJa00,South Alabama,88,,DAL
2022,David Bell,BellDa02,Purdue,99,,CLE
2022,Danny Gray,GrayDa02,SMU,105,,SFO
2022,Erik Ezukanma,EzukEr00,Texas Tech,125,,MIA
2022,Romeo Doubs,DoubRo00,Nevada,132,,GNB
2022,Calvin Austin III,AustCa00,Memphis,138,,PIT
2022,Khalil Shakir,ShakKh00,Boise St.,148,,BUF
2022,Montrell Washington,WashMo00,Samford,162,,DEN
2022,Kyle Philips,PhilKy01,UCLA,163,,TEN
2022,Jalen Nailor,NailJa00,Michigan St.,191,,MIN
2022,Michael Woods II,WoodMi00,Oklahoma,202,,CLE
2022,Bo Melton,MeltBo00,Rutgers,229,,SEA
2022,Dareke Young,YounDa02,Lenoir-Rhyne,233,,SEA
2022,Samori Toure,TourSa00,Nebraska,258,,GNB
